order_id,customer_id,order_date,order_amount,currency
1001,103,2025-10-11,125.01,USD
1002,93,2025-02-24,287.89,USD
1003,15,2025-07-05,213.84,USD
1004,107,2025-09-01,51.15,USD
1005,72,2025-02-05,141.88,USD
1006,21,2025-03-13,138.5,USD
1007,103,2025-12-02,354.23,USD
1008,122,2025-02-20,361.89,USD
1009,75,2025-09-03,91.08,USD
1010,88,2025-08-26,498.92,USD
1011,117,2025-11-05,148.05,USD
1012,100,2025-02-23,488.78,USD
1013,104,2025-02-18,217.3,USD
1014,131,2025-08-25,35.86,USD
1015,150,2025-08-23,185.63,USD
1016,53,2025-07-18,324.49,USD
1017,2,2026-01-19,346.74,USD
1018,88,2025-08-25,274.85,USD
1019,38,2025-07-06,234.94,USD
1020,130,2025-04-18,285.39,USD
1021,21,2025-11-04,304.49,USD
1022,58,2025-12-06,58.81,USD
1023,22,2025-02-11,197.43,USD
1024,89,2025-02-17,136.24,USD
1025,49,2025-09-15,405.51,USD
1026,59,2025-08-18,245.74,USD
1027,15,2025-10-15,492.04,USD
1028,51,2025-12-17,211.44,USD
1029,108,2025-03-05,411.89,USD
1030,55,2026-01-14,403.21,USD
1031,64,2025-12-27,92.34,USD
1032,131,2025-05-23,263.94,USD
1033,51,2025-08-11,353.99,USD
1034,135,2025-10-03,432.01,USD
1035,21,2025-12-28,176.46,USD
1036,73,2026-01-27,125.72,USD
1037,18,2025-03-01,361.35,USD
1038,132,2025-06-13,408.56,USD
1039,89,2025-02-26,187.36,USD
1040,60,2025-03-28,66.16,USD
1041,14,2025-03-21,471.45,USD
1042,9,2025-04-15,210.83,USD
1043,90,2025-04-03,268.52,USD
1044,53,2025-04-17,422.1,USD
1045,130,2026-01-30,344.33,USD
1046,84,2025-11-12,372.9,USD
1047,92,2025-09-15,120.35,USD
1048,111,2025-03-17,279.9,USD
1049,8,2026-01-24,353.98,USD
1050,35,2025-10-05,129.7,USD
1051,81,2025-12-28,103.98,USD
1052,50,2025-06-30,491.44,USD
1053,104,2025-10-09,267.99,USD
1054,132,2025-06-14,145.2,USD
1055,2,2025-08-15,498.2,USD
1056,134,2026-01-26,483.4,USD
1057,54,2025-08-29,287.98,USD
1058,106,2025-07-16,443.67,USD
1059,4,2025-12-28,110.58,USD
1060,54,2025-06-07,153.86,USD
1061,146,2025-03-09,356.17,USD
1062,44,2025-10-20,426.4,USD
