shipment_id,order_id,status,shipped_at,delivered_at
6356d526-dfa8-4182-bddc-792959bec865,1001,IN_TRANSIT,2025-10-14,
9be5f11e-cf34-46ae-ba90-682737818691,1002,DELIVERED,2025-02-27,2025-03-05
5947d0e7-7a2a-493a-89f5-c18c7662ef21,1003,DELIVERED,2025-07-07,2025-07-08
f4456709-09b3-4d0b-9e09-021e7bc5946f,1004,SHIPPED,2025-09-05,
9087486e-c3b8-4eb1-b59d-040d731a49ba,1005,IN_TRANSIT,2025-02-08,
0d59b3e6-ad85-47b3-a115-8171ce7e7e7c,1006,IN_TRANSIT,2025-03-17,
14ba4d94-544f-4ceb-ac4b-a0f31f74a91c,1007,DELIVERED,2025-12-06,2025-12-10
df09a3ee-5d20-475f-bb9b-6db44d8e31c7,1008,DELIVERED,2025-02-24,2025-02-28
1f14d24f-50c0-44a8-92b0-9652522c1130,1009,SHIPPED,2025-09-05,
268cd92c-133b-43a6-83f1-2b2af17b4f35,1010,IN_TRANSIT,2025-08-30,
588c6f4c-9a5c-4169-b7ee-545c7cf0377d,1011,DELIVERED,2025-11-08,2025-11-12
1e3565dc-e3fd-4d21-8938-70fa8a7a0674,1012,DELIVERED,2025-02-27,2025-03-03
e679f735-4034-4228-a8dd-91811b7503ef,1013,IN_TRANSIT,2025-02-20,
bcb38a1f-a9b0-4e08-bd7c-23aaf5378229,1014,IN_TRANSIT,2025-08-26,
9a5afde8-b5d3-487b-9dce-c6e299619ea3,1015,IN_TRANSIT,2025-08-26,
d4e1c60b-47fd-4dd8-9576-6d6ac12b3f45,1016,IN_TRANSIT,2025-07-21,
b99e39f3-b1da-4791-9fbb-4a250fef7f96,1017,DELIVERED,2026-01-21,2026-01-22
96e55147-5fc7-444e-8231-01bcc15b6782,1018,IN_TRANSIT,2025-08-29,
34603c34-cd87-46de-ae5c-6ddda4c8c293,1019,DELIVERED,2025-07-08,2025-07-10
9cab5752-b9db-4698-ad19-119e5095abc9,1020,DELIVERED,2025-04-22,2025-04-23
a5db51f0-95a5-457d-96fe-e07f9f83532a,1021,DELIVERED,2025-11-08,2025-11-09
ae4bcb80-56ce-4a94-9a59-a48e3496164c,1022,DELIVERED,2025-12-10,2025-12-15
0f2aa873-66f4-4ce2-96cc-6122e790915d,1023,DELIVERED,2025-02-13,2025-02-16
6bfd1dd3-d901-4740-a9ca-4489ecf96aae,1024,DELIVERED,2025-02-21,2025-02-24
3445b11a-d852-4017-b45e-3ead79d46e3b,1025,SHIPPED,2025-09-16,
9c87ea67-78a8-4269-9d9e-9eaf2a615f68,1026,SHIPPED,2025-08-19,
877c8375-c9af-4dff-a7dc-e36ea0a668dc,1027,SHIPPED,2025-10-16,
971f4ef7-d760-4e42-9fa1-a8a3622bbee5,1028,DELIVERED,2025-12-19,2025-12-23
fa25eadb-5c5d-49e4-b1cf-6121d4d2388e,1029,IN_TRANSIT,2025-03-06,
94bdf083-1f8b-4eae-bb1d-74bf96d3d553,1030,DELIVERED,2026-01-16,2026-01-21
f6ea7e41-1edd-44f4-a9a8-f056912f321a,1031,IN_TRANSIT,2025-12-30,
89574eca-5e6f-43c0-84b4-9ec7237af85d,1032,IN_TRANSIT,2025-05-25,
7fc59fd6-63e9-430f-a39a-af874e65289e,1033,SHIPPED,2025-08-14,
36b3419f-f09d-45f3-a3d1-1800d91d8b56,1034,DELIVERED,2025-10-05,2025-10-07
293460e4-b42b-4617-b4c7-5a7637b704df,1035,IN_TRANSIT,2026-01-01,
1c8fbadd-0c2e-4b9d-b995-b8a6d3d61081,1036,DELIVERED,2026-01-29,2026-01-30
0bd5b839-7426-47e0-81fb-3504ece93778,1037,DELIVERED,2025-03-05,2025-03-09
fc8295f2-52ef-4187-9a41-991ae164062a,1038,SHIPPED,2025-06-17,
fb3531f0-699e-43d2-a6d0-76ca06204637,1039,DELIVERED,2025-03-01,2025-03-05
0a9f974f-2720-4748-87ea-79d8a7e64a2e,1040,DELIVERED,2025-04-01,2025-04-05
2856d6ad-cda7-430d-ac51-6740cf0640c6,1041,DELIVERED,2025-03-25,2025-03-28
997a5e01-ac45-4fd3-b690-c46a173ef305,1042,SHIPPED,2025-04-19,
b5a0040c-85d6-4dc4-aed3-f3a280b84a28,1043,DELIVERED,2025-04-04,2025-04-09
e3d5a932-d140-45c6-a5e8-50e2b6bda95d,1044,IN_TRANSIT,2025-04-21,
c313e6ee-9b58-48d6-8e86-b42ae5937e85,1045,DELIVERED,2026-01-31,2026-02-03
fdadb3bb-e2aa-4813-9d41-8d16497878fd,1046,IN_TRANSIT,2025-11-16,
c9582c94-afed-4eb8-9cb4-475b0e71d117,1047,SHIPPED,2025-09-19,
71ab8749-4d2d-4b30-9cbb-fe9df21b5134,1048,SHIPPED,2025-03-19,
1cdd9882-db1f-4942-ae35-1d04258ecb65,1049,DELIVERED,2026-01-26,2026-01-27
d079806b-b4d2-4076-b357-793d8ab59b85,1050,IN_TRANSIT,2025-10-07,
0a961e87-be12-4938-837a-f1c2c01f0cab,1051,DELIVERED,2025-12-30,2026-01-05
31cfc193-d42c-4c05-b78f-8e515e72d1ac,1052,IN_TRANSIT,2025-07-02,
42fcd8e2-02f7-4a73-a48b-8169486bb62b,1053,SHIPPED,2025-10-12,
9760e784-6b4b-4754-bd48-269f9e4db635,1054,IN_TRANSIT,2025-06-15,
bbb0f07a-20bb-4aa2-9bb6-3cbf974d6a88,1055,DELIVERED,2025-08-18,2025-08-22
cea26e54-5fce-4a4d-9418-e2acc5b046e2,1056,DELIVERED,2026-01-27,2026-01-28
44202d46-ff3e-4dae-ae65-f7b588ecb3f0,1057,SHIPPED,2025-09-02,
237cc20a-4096-4a75-a376-d41d1680693b,1058,DELIVERED,2025-07-17,2025-07-20
093a22b1-e649-433b-b222-b75f6e31c434,1059,DELIVERED,2025-12-29,2026-01-02
e4161911-79b4-4589-a302-c11eee17b764,1060,IN_TRANSIT,2025-06-09,
94269c5b-1453-4900-9ac8-f4b94c194fd9,1061,IN_TRANSIT,2025-03-13,
430b3076-448d-4699-9394-aa5d69673469,1062,DELIVERED,2025-10-22,2025-10-26
62cb9392-7413-48d0-852c-27f97fbef848,1063,DELIVERED,2025-04-09,2025-04-10
e690ee78-6477-4fbd-8c68-7672b9edc8ff,1064,SHIPPED,2025-12-17,
32f9c669-d728-4bcd-83c2-1e17ba78899b,1065,DELIVERED,2025-09-02,2025-09-06
2348d33c-fb06-4d98-a5ae-bc632e729ccf,1066,IN_TRANSIT,2025-11-22,
13c175ed-9fd2-4887-987f-659ddb7ab2a0,1067,DELIVERED,2025-05-21,2025-05-22
0040ec25-f58d-4e9d-b8d0-2eff64fb8302,1068,SHIPPED,2025-11-26,
8754367a-39a7-407c-bda0-1d3a5498af55,1069,DELIVERED,2025-09-05,2025-09-06
01335771-c92f-4b7d-be1c-2a0458139e5e,1070,DELIVERED,2026-01-29,2026-02-02
1b21c825-9fbb-4e6e-9e61-a20ec43f083c,1071,IN_TRANSIT,2026-01-28,
ba43b662-b2a6-4829-b06b-78e5315252bd,1072,IN_TRANSIT,2025-05-11,
4a56a0ab-4761-4f27-8cd3-6c41310fc752,1073,DELIVERED,2025-11-26,2025-11-30
db9d002c-222d-49ec-be97-67a1f2ad65bd,1074,IN_TRANSIT,2025-04-22,
864e1e0a-a057-4626-837e-ba85b0f79d17,1075,DELIVERED,2025-05-06,2025-05-07
9b336f5d-43b0-4130-b40e-b05c3b293dd3,1076,SHIPPED,2025-09-07,
5844ba64-9994-42ba-9588-00cf0e463e64,1077,DELIVERED,2025-05-13,2025-05-19
59b042f4-9053-4ee2-87d7-cf7da0ba0e90,1078,SHIPPED,2025-09-14,
5e6a8128-2055-46bc-b056-c2f39b220a55,1079,DELIVERED,2026-01-23,2026-01-26
27d30e3c-dafd-40b6-9f8c-21e783c7833e,1080,SHIPPED,2026-01-29,
24492db9-c6a4-405c-a6c4-7e35c853ddf6,1081,DELIVERED,2025-10-15,2025-10-17
c3b706c6-c850-470b-8ebc-148670876449,1082,DELIVERED,2025-10-06,2025-10-12
5e06cfbe-de79-4c36-9715-07d4e9ccef0d,1083,IN_TRANSIT,2025-12-12,
e2c8e652-34cf-4d89-8fe4-dbfd9e8def38,1084,SHIPPED,2025-11-17,
96dd8d13-3d7b-4c6e-8968-8c1bd4f2989a,1085,DELIVERED,2025-08-27,2025-08-29
50e35570-dd17-4aa8-a5e4-3b5cad74d138,1086,DELIVERED,2025-08-13,2025-08-19
f8c3d84e-4a10-4e6c-b74e-8d5e5188ecbb,1087,DELIVERED,2026-01-27,2026-02-01
a7482b9c-cb70-4488-a345-af42ed34933d,1088,DELIVERED,2025-11-23,2025-11-24
ba49366f-8e44-4f3e-91cd-fa07bed03b7e,1089,DELIVERED,2025-10-05,2025-10-10
3fb554aa-11b5-45f4-bd82-6e707c5789e6,1090,IN_TRANSIT,2025-12-30,
aa9a644f-1a7d-4300-96de-8d16e1672148,1091,SHIPPED,2025-12-29,
26300d71-21c4-4834-a00b-3e0c021370cb,1092,IN_TRANSIT,2025-04-02,
4dbba303-7c15-4a6b-97c8-23e77f0aca5d,1093,IN_TRANSIT,2026-01-18,
9d9fefc1-bb0e-4a3c-ac54-284a9967c755,1094,IN_TRANSIT,2025-09-25,
1cd0f900-b1b6-4067-a04e-4a24b8bcae9b,1095,IN_TRANSIT,2025-11-18,
5b759e65-cd80-4967-8857-3670cc5aed1e,1096,IN_TRANSIT,2025-08-16,
11d2a219-f2fb-4062-9b8d-4f11a404c804,1097,SHIPPED,2025-10-07,
f3d82e13-550b-479a-b403-ba333b9bc5c6,1098,DELIVERED,2025-12-30,2025-12-31
0f372108-db98-4b2b-a853-5de46de37e4c,1099,DELIVERED,2025-06-24,2025-06-29
1c4691a0-ca58-4c44-9bcb-303e25aa5789,1100,DELIVERED,2025-08-23,2025-08-27
8889896d-0f96-4c6d-b6be-c9d01ffea782,1101,SHIPPED,2025-09-01,
d2047fb1-502b-49ce-a2b7-5ded16c96560,1102,IN_TRANSIT,2025-04-08,
34ee1454-dda2-4252-a2b8-b52c89f5a223,1103,DELIVERED,2025-12-26,2025-12-31
f4b033c6-c044-4525-9121-0348bff127dc,1104,DELIVERED,2025-11-16,2025-11-21
90d0939f-e025-45cc-a7c5-d32a494fe33e,1105,DELIVERED,2025-06-26,2025-06-29
d562336c-381b-4bfb-900b-142708524482,1106,SHIPPED,2025-12-06,
2ac0c364-994b-4fc3-bc18-75b343f5c32b,1107,DELIVERED,2026-01-03,2026-01-04
a405e4b7-8778-40ac-ab5f-1d4187536a7e,1108,SHIPPED,2025-11-06,
c3d206b5-5063-4768-addc-0d5fc29cb767,1109,DELIVERED,2025-07-11,2025-07-12
2e9c5e2c-ce39-4ab7-aa4b-fa39b8a6698c,1110,DELIVERED,2025-02-21,2025-02-24
61c97ecc-9c46-43f0-84ea-8ec0fd03dabe,1111,DELIVERED,2025-02-04,2025-02-07
c17efd03-dc96-4521-80f9-667338686759,1112,DELIVERED,2026-01-12,2026-01-18
bfa67159-106d-4cf3-9a47-175386827335,1113,SHIPPED,2025-03-20,
2baf7775-1bcd-4ec0-b00a-6d41275d576f,1114,IN_TRANSIT,2025-09-05,
0a0f9c5e-6b73-41ca-9021-d287981530c6,1115,DELIVERED,2025-06-11,2025-06-13
89570b85-916a-4a07-9118-cd9dbfe6a490,1116,DELIVERED,2025-12-22,2025-12-26
ab243ede-52a7-4720-b0ca-ee273cd05547,1117,DELIVERED,2025-05-12,2025-05-15
c0eb2b1d-b9c6-443d-ba1b-63bb4e7e636b,1118,SHIPPED,2025-09-19,
22e589f5-6742-4b57-9883-a831142cf830,1119,IN_TRANSIT,2026-01-30,
acc8f7cd-6e26-4076-acd0-0e9cb304dd7a,1120,DELIVERED,2025-02-17,2025-02-22
b49a002b-c03e-4df7-936f-ac2ec33bac8b,1121,DELIVERED,2025-08-22,2025-08-27
17a4072c-0358-4958-8046-7403e54cff78,1122,DELIVERED,2025-09-23,2025-09-28
cb4df45e-c312-4434-8173-7faaadded533,1123,DELIVERED,2025-06-11,2025-06-13
6f8ed9e8-9f8a-4ccd-9dbb-b7d1a8d54ed0,1124,DELIVERED,2025-06-17,2025-06-20
0afccf05-bddc-477e-949c-85df1aea3d2d,1125,SHIPPED,2025-08-23,
fcc42ace-935c-4add-a86a-14a75dcc1ece,1126,IN_TRANSIT,2025-02-21,
d3480e0c-1133-4f5f-b2e6-f4a1d4d98425,1127,IN_TRANSIT,2026-01-08,
d3bcbfba-95dc-4f88-a9c3-99cf4e246a91,1128,SHIPPED,2025-07-22,
cd56b78e-60c9-4413-8c1b-6b9765c4d124,1129,DELIVERED,2025-03-05,2025-03-06
22beb74d-83a4-4384-bfb1-e4b72f672de0,1130,DELIVERED,2025-07-14,2025-07-15
61d701a3-7458-4c9c-b43d-75ba0494afc3,1131,SHIPPED,2025-08-27,
162df24f-2436-4ede-b118-406af1fac351,1132,IN_TRANSIT,2025-07-11,
8b433b8c-3f84-4363-bb85-e0bc0429b5c5,1133,SHIPPED,2026-01-03,
5667d671-edd9-4ec6-a7c7-0e5be010dc2c,1134,DELIVERED,2025-11-13,2025-11-14
03f4fbe0-0c3a-4cdd-b72d-19eb8b7c2960,1135,DELIVERED,2025-10-18,2025-10-24
ee995ba3-dbed-44c0-acb6-3f0c11930727,1136,DELIVERED,2026-01-13,2026-01-18
907b9d28-cc76-4c41-8695-c750c7770b32,1137,DELIVERED,2025-09-05,2025-09-07
44e400fe-06ec-43be-b21f-5fe6eef25df0,1138,IN_TRANSIT,2025-05-06,
04f100a5-883a-46fc-aa68-a5f436b12f6d,1139,IN_TRANSIT,2025-04-09,
15a9694f-47ff-4c4c-9d3c-8da99394905e,1140,DELIVERED,2026-01-02,2026-01-07
5019ef07-00f6-438f-b860-711f895c9628,1141,IN_TRANSIT,2026-01-23,
3065c58d-acbc-4e01-bcb0-841789cd7d10,1142,DELIVERED,2025-06-24,2025-06-26
64dd2399-e359-4e4e-be5e-c46e8d4bafda,1143,IN_TRANSIT,2025-11-20,
c8ee847d-db63-4581-9557-1ff2c45f1370,1144,DELIVERED,2025-08-12,2025-08-14
599a4a9c-426d-4025-a2ce-cbdf5fec77f9,1145,DELIVERED,2026-01-26,2026-01-29
493bd294-dd3f-4d86-aa06-02ec2e984ac9,1146,DELIVERED,2025-07-24,2025-07-30
a7c45cd1-dae7-4633-89ac-98628a842857,1147,DELIVERED,2025-04-14,2025-04-20
13c6b725-9a19-4a68-a2cc-8b3c6f622578,1148,IN_TRANSIT,2025-07-08,
1be41509-ed9c-49e1-9ef4-d427e4c7156d,1149,IN_TRANSIT,2025-12-23,
7ba2e38b-d7fa-4998-b5af-c82c0513ba3b,1150,DELIVERED,2025-05-01,2025-05-06
